Title,Alternative title,Id
Atelier Ryza: Ever Darkness & the Secret Hideout,Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,37304
Attack On Titan,Shingeki no Kyojin,351
Attack on Titan Season 2,Shingeki no Kyojin S2,9611
Attack on Titan Season 3,Shingeki no Kyojin S3,17114
Attack on Titan The Final Season,Shingeki no Kyojin: The Final Season,27410
Attack on Titan: Junior High,Shingeki! Kyojin Chuugakkou,19845
Attacker You!,,22911
AWOL Compression Re-Mix,,31616
Ayaka,,37669
Ayakashi Triangle,,34904
Azumanga Daiou The Animation,,25634
Azur Lane,,17843
Azur Lane: Slow Ahead!,Azur Lane: Bisoku Zenshin!,19885
B Gata H Kei,,5833
Baby Steps,,2807
Back Arrow,,22697
Baka and Test: Summon the Beasts,Baka to Test to Shoukanjuu,4767
Baka and Test: Summon the Beasts 2,Baka to Test to Shōkanjū Ni!,3700
Baki (2018),Baki,24577
Baki (2020),Baki,24464
Bakumatsu Gijinden Roman,,41014
Bakumatsu Rock,Samurai Jam -Bakumatsu Rock-,40996
BanG Dream!,,8808
BanG Dream! It's MyGO!!!!!,,37278
"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside","Shin no Nakama ja Nai to Yuusha no Party o Oidasareta node, Henkyou de Slow Life Suru Koto ni Shimashita",26888
"Banished From The Hero's Party, I Decided To Live A Quiet Life In The Countryside Season 2","Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita 2nd",39782
Banner of the Stars,Seikai no Senki,15695
Baoh the Visitor,Baoh Raihousha,23537
Bartender,,19963
Bartender: Glass of God,Bartender: Kami no Glass,40815
"Bastard!! Heavy Metal, Dark Fantasy",Bastard!! Ankoku no Hakaishin (2022),30800
"Bastard!! Heavy Metal, Dark Fantasy Part 2",Bastard!! Ankoku no Hakaishin Part 2,37478
Battle Athletes Victory,Battle Athletess Daiundoukai (1997),12440
Battle Athletes Victory Restart!,Battle Athletess Daiundoukai Restart!,21716
Battle Game in 5 Seconds,Deatte 5 Byou de Battle,23575
Battle Girl High School,,28605
BBK/BRNK: The Gentle Giants of the Galaxy,Bubuki Buranki: Hoshi no Kyojin,7478
Be-Bop High School,Be-Bop Highschool,32911
Beast Tamer,"Yuusha Party o Tsuihou Sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",34299
Beastars,,19082
Beautiful Bones: Sakurako's Investigation,Sakurako-san no Ashimoto ni wa Shitai ga Umatte Iru,25430
Beck: Mongolian Chop Squad,,36346
Beelzebub,,32645
BEM,,17492
Ben-To,,8795
Bermuda Triangle: Colorful Pastorale,,36717
Berserk,Kenpuu Denki Berserk,22133
Berserk (2016),,6098
Berserk of Gluttony,Boushoku no Berserk,38375
Berserk: The Golden Age Arc - Memorial Edition,Berserk: Ougon Jidai-hen - Memorial Edition,34111
Between the Sky and Sea,Sora to Umi no Aida,17853
Beyond the Boundary,Kyoukai no Kanata,221
Big Order,,38425
Bikini Warriors,,35201
Birdie Wing: Golf Girls' Story,,29582
Black Bullet,,477
Black Butler,Kuroshitsuji,25706
Black Butler II,Kuroshitsuji II,40949
Black Butler: Public School Arc,Kuroshitsuji: Kishuku Gakkou-hen,40915
Black Clover,,10817
Black Jack Final,,31894
Black Lagoon,,4702
BLACK LAGOON The Second Barrage,,20739
Black Lagoon: Roberta's Blood Trail,,35135
Black Rock Shooter: Dawn Fall,,31504
Black Summoner,Kuro no Shoukanshi,30922
Blade,,41376
Blade And Soul,,888
Blade of the Immortal (2019),Mugen no Juunin: Immortal,27440
Blade Runner: Black Lotus,,30100
Blassreiter,,25582
Blast of Tempest,Zetsuen no Tempest: The Civilization Blaster,28157
Blazing Transfer Student,Honoo no Tenkousei,31645
Bleach,,27284
Bleach: Thousand-Year Blood War,Bleach: Sennen Kessen Hen,33349
Blend S,,14161
Blessing of the Campanella,Shukufuku no Campanella,13444
Blood Blockade Battlefront,Kekkai Sensen,1677
Blood Blockade Battlefront & Beyond,Kekkai Sensen & Beyond,14148
Blood Lad,,10447
Blood+,,22538
Blood-C,,25061
Bludgeoning Angel Dokuro-chan,Bokusatsu Tenshi Dokuro-chan,18389
Blue Archive the Animation,,40845
Blue Exorcist,,2344
Blue Exorcist: Shimane Illuminati Saga,Ao no Exorcist: Shimane Illuminati-hen,39713
Blue Gender,,15723
Blue Lock,,33244
Blue Reflection Ray,Blue Reflection Ray,21789
Blue Seed,BLUE SEED,22813
Blue Seed 1.5,,22860
Blue Seed Beyond,Blue Seed 2,22865
Blue Sonnet,Akai Kiba Blue Sonnet,31147
Blue Spring Ride,Ao Haru Ride,26133
