Title,Season,Id
Braceface,3,9833
Brave Animated Series,1,15759
Bravest Warriors,1,3792
Bravest Warriors,2,3805
Bravest Warriors,3,3818
Bravest Warriors,4,3825
Breaking Bad,3,2612
Bunnicula,1,23018
Cadillacs and Dinosaurs,1,17913
Captain Caveman and the Teen Angels,2,15785
Captain Caveman and the Teen Angels,3,15790
Captain Fall,1,22467
Captain Jake and the Never Land Pirates,1,24812
Captain Jake and the Never Land Pirates,2,24838
Captain Jake and the Never Land Pirates,3,26738
Captain Laserhawk: A Blood Dragon Remix,1,23339
Captain N: The Game Master,1,19037
Captain N: The Game Master,2,19059
Captain N: The Game Master,3,19074
Carmen Sandiego (2019),1,11316
Carmen Sandiego (2019),2,3094
Carmen Sandiego (2019),3,5973
Carmen Sandiego (2019),4,5979
Castlevania,1,3875
Castlevania,2,3881
Castlevania,3,5396
Castlevania,4,6306
Castlevania: Nocturne,1,22883
CatDog,1,7571
CatDog,2,7592
CatDog,3,7829
Centaurworld,1,8086
Chilling Adventures of Sabrina,1,2546
Chip 'n' Dale Rescue Rangers,1,2311
Chip 'n' Dale Rescue Rangers,2,2325
Chip 'n' Dale Rescue Rangers,3,2373
Chip 'N' Dale: Park Life,1,22390
Chop Socky Chooks,1,9781
Chuck's Choice,1,16704
Chuck's Choice,1,16632
Clarence,1,7654
Clarence,2,7706
Clarence,3,7733
Clarence,4,7760
Class of the Titans,1,20301
Class of the Titans,2,20328
Cleopatra in Space,1,6765
Cleopatra in Space,2,6780
Cleopatra in Space,3,6787
Clone High (2023),1,22272
Clone High (2023),2,28226
Clone High,1,20466
Cloudy with a Chance of Meatballs,1,8019
Cloudy with a Chance of Meatballs,2,8254
Code Lyoko Evolution,1,10158
Code Lyoko,1,14900
Code Lyoko,2,14927
Code Lyoko,3,14954
Code Lyoko,4,14970
Code Monkeys,1,14020
Code Monkeys,2,14034
Codename: Kids Next Door,1,21200
Codename: Kids Next Door,2,21214
Codename: Kids Next Door,3,21228
Codename: Kids Next Door,4,21242
Constantine (2014),1,27204
Courage the Cowardly Dog,1,17413
Courage the Cowardly Dog,2,17427
Courage the Cowardly Dog,3,17441
Courage the Cowardly Dog,4,17487
Cow and Chicken,1,3281
Cow and Chicken,2,3373
Cow and Chicken,3,3611
Cow and Chicken,4,3400
Cowboy Bebop,1,11999
Craig of the Creek,1,24124
Craig of the Creek,2,24633
Craig of the Creek,3,24680
Craig of the Creek,4,24732
Ctrl+Alt+Del: The Animated Series,1,10520
Ctrl+Alt+Del: The Animated Series,2,10533
Cybersix,1,9887
Danny Phantom,1,18040
Danny Phantom,2,18081
Danny Phantom,3,18099
Daredevil (2015),1,12598
Daredevil (2015),2,12614
Daredevil (2015),3,12628
Daria,1,18633
Daria,2,18647
Daria,3,18661
Daria,4,18675
Daria,5,18689
Darkstalkers,,6665
Darkwing Duck,1,1089
Dave the Barbarian,1,3443
Dawn of the Croods,1,11777
Dawn of the Croods,2,11791
Dawn of the Croods,3,11805
Dawn of the Croods,4,11819
DC Showcase,,14518
DC Super Hero Girls (2019),1,22104
DC's Legends of Tomorrow,1,27227
DC's Legends of Tomorrow,2,27250
DC's Legends of Tomorrow,3,27268
DC's Legends of Tomorrow,4,27398
DC's Legends of Tomorrow,5,27415
DC's Legends of Tomorrow,6,27494
DC's Legends of Tomorrow,7,27510
Defenders of the Earth,1,9116
"Denver, the Last Dinosaur",1,17552
"Denver, the Last Dinosaur",2,17566
Deputy,1,28482
Dexter's Laboratory,1,12670
Dexter's Laboratory,2,12684
Dexter's Laboratory,3,12783
Dexter's Laboratory,4,12818
Digman!,1,21191
Disenchantment,1,1647
Disney Shorts,,9630
Doctor Who (2005),1,27948
Doctor Who (2005),10,27320
Doctor Who (2005),11,27287
Doctor Who (2005),12,27222
Doctor Who (2005),13,27138
Doctor Who (2005),2,27934
Doctor Who (2005),3,27920
Doctor Who (2005),4,27854
Doctor Who (2005),5,27840
Doctor Who (2005),6,27820
Doctor Who (2005),7,27692
Doctor Who (2005),8,27546
Doctor Who (2005),9,27431
Doom Patrol,1,22808
Dota: Dragon's Blood,1,4617
Dota: Dragon's Blood,2,16623
Dota: Dragon's Blood,3,17759
Dragon Age: Absolution,1,20487
Dragon Booster,1,11274
Dragon Booster,2,11288
Dragon Booster,3,11302
Dragon's Dogma,1,4016
Dragon's Lair,1,7957
Dragons: Riders of Berk,1,18948
Dragons: Riders of Berk,2,18969
Dragons: Riders of Berk,3,18990
Dragons: Riders of Berk,4,19031
Dragons: Riders of Berk,5,19135
Dragons: Riders of Berk,6,19152
Dragons: Riders of Berk,7,19166
Dragons: Riders of Berk,8,19180
Dragons: The Nine Realms,1,18441
Dragons: The Nine Realms,2,18448
Dragons: The Nine Realms,3,18456
Drawn Together,1,13981
Drawn Together,2,13989
Drawn Together,3,14005
Duck Dodgers,1,494
Duck Dodgers,2,21269
Duck Dodgers,3,21283
Duckman,1,8363
Duckman,2,8377
Duckman,3,8387
Duckman,4,8408
DuckTales (1987),1,7335
DuckTales (1987),2,7515
DuckTales (1987),3,7526
DuckTales (1987),4,7545
DuckTales (2017),1,2261
DuckTales (2017),2,15001
DuckTales (2017),3,15039
Dug Days,,8308
Duncanville,1,22025
Duncanville,2,22037
Duncanville,3,22050
Dungeons & Dragons,1,9338
Dungeons & Dragons,2,9401
Dungeons & Dragons,3,9443
Earthworm Jim,1,16805
Earthworm Jim,2,16854
Echo,1,25459
"Ed, Edd n Eddy",1,5037
"Ed, Edd n Eddy",2,8314
"Ed, Edd n Eddy",3,8328
"Ed, Edd n Eddy",4,8696
"Ed, Edd n Eddy",5,8958
Egyxos,1,16534
El Tigre: The Adventures of Manny Rivera,1,24000
Elliott from Earth,1,10956
Empire,1,26959
Enchantimals: Tales from Everwilde,2,19221
Ever After High,1,23346
Exosquad,1,6972
Extreme Ghostbusters,1,7052
Fallout,1,28017
Family Guy,1,17994
Family Guy,10,20028
Family Guy,11,20052
Family Guy,12,20075
Family Guy,13,20097
Family Guy,14,27581
Family Guy,15,27602
Family Guy,16,20117
Family Guy,17,20138
Family Guy,18,20157
Family Guy,19,20166
Family Guy,2,18112
Family Guy,20,20200
Family Guy,21,21796
Family Guy,3,18134
Family Guy,4,18184
Family Guy,5,18215
Family Guy,6,18234
Family Guy,7,19755
Family Guy,8,19984
Family Guy,9,20006
Fat Albert and the Cosby Kids,1,8439
Felix the Cat,1,10755
Fillmore!,1,18284
Fillmore!,2,18298
Final Space,1,3767
Final Space,2,3778
Final Space,3,15114
Firefly,,2759
Flash Gordon,1,8783
Flash Gordon,2,8835
Freakazoid!,1,7627
Freakazoid!,2,7642
Futurama,1,2035
Futurama,2,4347
Futurama,3,8437
Futurama,4,3862
Futurama,5,14075
Futurama,6,14092
Futurama,7,14119
Game of Thrones,1,111
Game of Thrones,2,270
Game of Thrones,3,303
Game of Thrones,4,1156
Game of Thrones,5,1167
Game of Thrones,6,2594
Game of Thrones,7,2730
Game of Thrones,8,2605
Gargoyles,1,1580
Gargoyles,2,7095
Gargoyles,3,6912
Gemusetto Machu Picchu,1,11057
Gemusetto Machu Picchu,2,11059
Generator Rex,1,16327
Generator Rex,2,7475
Generator Rex,3,7495
Genocyber,1,10402
George of the Jungle,1,15842
Gilligan's Island,1,21851
Gilligan's Island,2,21888
Gilligan's Island,3,21921
Glitch Techs,1,3686
Glitch Techs,2,3696
Golan the Insatiable,1,7461
Golan the Insatiable,2,7468
Good Vibes,1,16518
Goof Troop,1,15312
Goof Troop,2,15377
Gormiti,1,12083
Gravity Falls,1,22501
Gravity Falls,2,706
Green Eggs and Ham,1,21728
Green Eggs and Ham,2,15766
Gremlins: Secrets of the Mogwai,1,22283
Grojband,1,18139
Guardians of the Galaxy,1,3254
Guardians of the Galaxy,2,12010
Guardians of the Galaxy,3,4034
H2O: Mermaid Adventures,1,17604
H2O: Mermaid Adventures,2,17618
Hailey's on It!,1,27014
Halo 4: Forward Unto Dawn,1,14669
Halo Legends,1,14541
Halo,1,16957
Halo: Nightfall,1,14561
Hammer and Bolter,1,23140
Harley Quinn,1,9901
Harley Quinn,2,9920
Harley Quinn,3,18570
Harley Quinn,4,22721
Harriet the Spy,1,18559
Harriet the Spy,2,21339
Hawkeye,1,22962
Hazbin Hotel,1,27440
He-Man and the Masters of the Universe (2021),1,8243
He-Man and the Masters of the Universe (2021),2,14360
He-Man and the Masters of the Universe,1,1594
He-Man and the Masters of the Universe,2,3162
He-Man and the Masters of the Universe,3,22173
Hercules,1,28059
Hercules,2,28112
Hero High,1,8935
Hey Arnold!,1,11608
Hey Arnold!,2,11647
Hey Arnold!,3,11687
Hey Arnold!,4,11707
Hey Arnold!,5,11725
High Guardian Spice,1,14201
High School USA!,1,18491
Hilda,1,2557
Hilda,2,17668
Hit-Monkey,1,14476
Home: Adventures with Tip & Oh,1,24132
Home: Adventures with Tip & Oh,2,24179
Horrid Henry,1,19596
Horrid Henry,2,19334
Horrid Henry,3,19371
Horrid Henry,4,19415
Horrid Henry,5,19446
Hotel Transylvania: The Series,1,6553
Hotel Transylvania: The Series,2,6580
House of the Dragon,1,18774
Human Resources,1,18749
I Heart Arlo,,7846
Infinity Train,1,3653
Infinity Train,2,3654
Infinity Train,3,3675
Infinity Train,4,10619
Inside Job,1,12135
Inspector Gadget Season 1 (1983),,4447
Inspector Gadget Season 2 (1983),,4513
Into the Dark,1,24590
Into the Dark,2,24603
Invader ZIM,,2402
Invader ZIM,2,10914
Invincible,1,6154
Invincible Specials,,24875
Iron Man (1994),1,9371
Iron Man (1994),2,9413
Iwájú,1,28369
Jackie Chan Adventures,1,27718
Jackie Chan Adventures,2,27732
Jackie Chan Adventures,3,27774
Jackie Chan Adventures,4,27792
Jackie Chan Adventures,5,27806
Jacob Two-Two,1,23158
Jacob Two-Two,2,23181
Jacob Two-Two,3,23195
Jellystone,1,10056
Jellystone,2,14631
Johnny Bravo,1,5485
Johnny Bravo,2,10406
Johnny Bravo,3,5524
Johnny Bravo,4,5542
Johnny Bravo,5,16313
Johnny Test,1,17024
Johnny Test,2,17458
Johnny Test,3,17472
Johnny Test,4,16994
Johnny Test,5,16967
Johnny Test,6,16928
Jonny Quest (1964),1,7157
Josie and the Pussy Cats in Outer Space,1,8864
Josie and the Pussycats,1,8975
Jumanji,1,20480
Jumanji,2,20501
Jumanji,3,20526
Justice League,1,8097
Justice League,2,8124
Justice League Unlimited,1,6001
Justice League Unlimited,2,6034
Justice League Unlimited,3,6073
KaBlam!,1,17277
KaBlam!,2,17286
KaBlam!,3,17298
KaBlam!,4,17308
Kaijudo: Rise of the Duel Masters,1,27893
Kaijudo: Rise of the Duel Masters,2,27975
Kappa Mikey,1,17682
Kappa Mikey,2,17709
Kevin Spencer,1,16819
Kick Buttowski: Suburban Daredevil,1,21742
Kick Buttowski: Suburban Daredevil,2,21763
Kid Cosmic,1,15485
Kid Cosmic,2,15496
Kid Cosmic,3,15505
Kid vs. Kat,1,13914
Kid vs. Kat,2,13941
Kim Possible,1,985
Kim Possible,2,1007
Kim Possible,3,1038
Kim Possible,4,1051
Kim Possible: A Sitch in Time,,26815
King of the Hill,1,18247
King of the Hill,10,20838
King of the Hill,11,20839
King of the Hill,12,20867
King of the Hill,13,20868
King of the Hill,2,28345
King of the Hill,3,28319
King of the Hill,4,20706
King of the Hill,5,20731
King of the Hill,6,20752
King of the Hill,7,20775
King of the Hill,8,20793
King of the Hill,9,20814
Kipo and the Age of Wonderbeasts,1,3707
Kipo and the Age of Wonderbeasts,2,3718
Kipo and the Age of Wonderbeasts,3,15103
Knuckles,1,28041
Krapopolis,1,28376
Lastman,1,16530
Legend of the Dragon,1,16834
Legend of the Dragon,2,23059
Lilo & Stitch: The Series,1,17038
Lilo & Stitch: The Series,2,17078
Little Demon,1,18785
Little Ellen,1,14487
Little Ellen,2,14505
Littlest Pet Shop,1,17105
Littlest Pet Shop,2,17133
Littlest Pet Shop,3,17160
Littlest Pet Shop,4,17187
Loki,1,7882
Looney Tunes Cartoons,1,7401
Looney Tunes Cartoons,2,7433
Looney Tunes Cartoons,3,22607
Looney Tunes Cartoons,4,22634
Looney Tunes Cartoons,5,22660
Looney Tunes Cartoons,6,22693
Looney Tunes Shorts,,22157
"Love, Death & Robots",1,2800
"Love, Death & Robots",2,16509
"Love, Death & Robots",3,16499
Martin Mystery,1,10826
Marvel Future Avengers,1,18518
Marvel Future Avengers,2,18545
Marvel's Moon Girl and Devil Dinosaur,1,22419
Masameer County,1,19968
Masameer County,2,19977
Masters of Horror,1,24616
Masters of Horror,2,24630
Masters of Sex,1,290
Masters of the Universe: Revelation,1,6850
Max Steel (2013),1,10570
Max Steel (2013),2,10750
Maya and the Three,1,10880
Megas XLR,1,5313
Megas XLR,2,5327
Men in Black: The Series,1,12262
Men in Black: The Series,2,12276
Men in Black: The Series,3,12290
Men in Black: The Series,4,12305
Metalocalypse,1,10917
Metalocalypse,2,13783
Metalocalypse,3,13802
Metalocalypse,4,13814
Mew Mew Power Season 1 [US],,8151
MGM Shorts,,10758
Middlemost Post,1,22894
Middlemost Post,2,22915
Mighty Ducks: The Animated Series,1,6926
Mighty Magiswords,1,6614
Mike Tyson Mysteries,1,86
Mike Tyson Mysteries,2,197
Mike Tyson Mysteries,3,15062
Mike Tyson Mysteries,4,15083
Milo Murphy's Law,1,15184
Milo Murphy's Law,2,15221
Miraculous: Tales of Ladybug & Cat Noir,1,10474
Miraculous: Tales of Ladybug & Cat Noir,2,10501
Miraculous: Tales of Ladybug & Cat Noir,3,14577
Miraculous: Tales of Ladybug & Cat Noir,4,14604
Miraculous: Tales of Ladybug & Cat Noir,5,22828
Misterjaw,1,14325
Monsters at Work,1,7841
Moon Knight,1,18767
Motorcity,1,1290
Mr. Bean: The Animated Series,1,19398
Ms. Marvel,1,18760
Mutant Busters,1,16596
My Adventures with Superman,1,22951
My Life as a Teenage Robot,1,5407
My Life as a Teenage Robot,2,5434
My Life as a Teenage Robot,3,5457
My Life Me,1,23351
My Little Pony: Friendship Is Magic,1,5110
My Little Pony: Friendship Is Magic,2,5137
My Little Pony: Friendship Is Magic,3,5164
My Little Pony: Friendship Is Magic,4,5178
My Little Pony: Friendship Is Magic,5,5205
My Little Pony: Friendship Is Magic,6,5232
My Little Pony: Friendship Is Magic,7,5259
My Little Pony: Friendship Is Magic,8,5286
My Little Pony: Friendship Is Magic,9,22227
My Little Pony: Pony Life,1,10853
New Girl,1,27064
New Looney Tunes,1,9160
New Looney Tunes,2,9284
New Looney Tunes,3,9491
Obi-Wan Kenobi,1,18796
Oddballs,1,18736
OK K.O.! Let's Be Heroes,1,17927
OK K.O.! Let's Be Heroes,2,18002
OK K.O.! Let's Be Heroes,3,18043
One Piece (2023),1,22522
Onyx Equinox,1,10123
Over the Garden Wall,1,6156
Pacific Rim: The Black,1,15834
Pacific Rim: The Black,2,15826
Pantheon,1,18604
Paradise PD,1,3151
Peacemaker,1,14489
Penn Zero: Part-Time Hero,2,28126
Pennyworth,1,22929
Pennyworth,2,23108
Pepper Ann,1,16272
Phineas and Ferb,1,2112
Phineas and Ferb,2,20943
Phineas and Ferb,3,2139
Phineas and Ferb,4,2202
Pink Panther & Pals,1,7971
Polly Pocket,1,16349
Polly Pocket,2,16468
Polly Pocket,3,16486
Popeye Shorts (1946),1,16889
Popeye Shorts (1946),2,16898
Primal,1,4400
Primal,2,21337
