Title,Season,Id
Supernatural,1,25904
Supernatural,10,26310
Supernatural,11,26334
Supernatural,12,26358
Supernatural,13,26382
Supernatural,14,26433
Supernatural,15,26406
Supernatural,2,25955
Supernatural,3,26023
Supernatural,4,26062
Supernatural,5,26105
Supernatural,6,26162
Supernatural,7,26186
Supernatural,8,26222
Supernatural,9,26286
Swamp Thing,1,16875
Swat Kats: The Radical Squadron,1,17504
Swat Kats: The Radical Squadron,2,17518
Sym-Bionic Titan,1,1256
T.U.F.F. Puppy,1,22182
T.U.F.F. Puppy,2,24523
Tales from the Cryptkeeper,1,11320
Tales from the Cryptkeeper,2,11340
Tales from the Cryptkeeper,3,11367
Tales from the Darkside,1,25390
Tales of the Jedi,1,18803
TaleSpin,1,7184
Tangled: The Series,1,1705
Tangled: The Series,2,2846
Tangled: The Series,3,16659
Tara Duncan,1,28194
Teen Titans Go!,1,23652
Teen Titans Go!,2,23705
Teen Titans Go!,3,23758
Teen Titans Go!,4,23812
Teen Titans Go!,5,23865
Teen Titans Go!,6,23920
Teen Titans Go!,7,23976
Teen Titans Go!,8,28237
Teen Titans,1,47
Teen Titans,2,663
Teen Titans,3,677
Teen Titans,4,691
Teen Titans,5,727
Teenage Euthanasia,1,19477
Teenage Mutant Ninja Turtles (1987),1,12908
Teenage Mutant Ninja Turtles (1987),10,13101
Teenage Mutant Ninja Turtles (1987),2,12914
Teenage Mutant Ninja Turtles (1987),3,12928
Teenage Mutant Ninja Turtles (1987),4,12976
Teenage Mutant Ninja Turtles (1987),5,13016
Teenage Mutant Ninja Turtles (1987),6,13038
Teenage Mutant Ninja Turtles (1987),7,13055
Teenage Mutant Ninja Turtles (1987),8,13083
Teenage Mutant Ninja Turtles (1987),9,13092
Teenage Mutant Ninja Turtles (2003),1,11750
Teenage Mutant Ninja Turtles (2003),2,12116
Teenage Mutant Ninja Turtles (2003),3,12154
Teenage Mutant Ninja Turtles (2003),4,12181
Teenage Mutant Ninja Turtles (2003),5,12208
Teenage Mutant Ninja Turtles (2003),6,12221
Teenage Mutant Ninja Turtles (2003),7,12248
Teenage Mutant Ninja Turtles (2012),1,765
Teenage Mutant Ninja Turtles (2012),2,12866
Teenage Mutant Ninja Turtles (2012),3,792
Teenage Mutant Ninja Turtles (2012),4,817
Teenage Mutant Ninja Turtles (2012),5,12891
The 13 Ghosts of Scooby-Doo,1,19741
The Adventures of Rocky and Bullwinkle,1,7929
The Adventures of Sam & Max: Freelance Police,1,10305
The Adventures of Super Mario Bros. 3,1,7293
The Adventures of the Galaxy Rangers,1,6986
The Amazing Digital Circus,1,27735
The Amazing World of Gumball,1,844
The Amazing World of Gumball,2,881
The Amazing World of Gumball,3,922
The Amazing World of Gumball,4,2440
The Amazing World of Gumball,5,21442
The Amazing World of Gumball,6,21482
The Avengers: Earth's Mightiest Heroes,1,13861
The Avengers: Earth's Mightiest Heroes,2,13888
The Batman,1,6836
The Batman,2,14214
The Batman,3,14228
The Batman,4,14246
The Batman,5,14260
The Book of Boba Fett,1,13853
The Boondocks,1,12708
The Boondocks,2,12756
The Boondocks,3,12788
The Boondocks,4,12829
The Boss Baby: Back in Business,,97
The Boys Presents: Diabolical,1,14369
The Boys,1,7553
The Boys,2,7562
The Boys,3,17824
The Cleveland Show,1,24052
The Cleveland Show,2,24074
The Cleveland Show,3,24286
The Cleveland Show,4,24309
The Croods: Family Tree,1,11833
The Croods: Family Tree,2,15777
The Cuphead Show!,1,13827
The Cuphead Show!,2,17980
The Cyanide & Happiness Show,1,14838
The Cyanide & Happiness Show,2,14850
The Cyanide & Happiness Show,3,14861
The Cyanide & Happiness Show,4,14872
The Dark Crystal: Age of Resistance,1,15162
The Dragon Prince,1,1795
The Dragon Prince,2,2251
The Dragon Prince,3,3852
The Dragon Prince,4,25725
The Dragon Prince,5,25728
The Emperor's New School,2,6358
The Fairly OddParents,1,24342
The Fairly OddParents,10,25616
The Fairly OddParents,2,24356
The Fairly OddParents,3,24386
The Fairly OddParents,4,24418
The Fairly OddParents,5,24420
The Fairly OddParents,6,25680
The Fairly OddParents,7,24502
The Fairly OddParents,8,25609
The Fairly OddParents,9,25612
The Falcon and the Winter Soldier,1,12328
The Flash (1990),1,27328
The Flash,1,26597
The Flash,2,26880
The Flash,3,26904
The Flash,4,26981
The Flash,5,27006
The Flash,6,27066
The Flash,7,27134
The Flash,8,27160
The Flash,9,27181
The Flintstones,1,19523
The Flintstones,2,19814
The Flintstones,3,19847
The Flintstones,4,19887
The Flintstones,5,19914
The Flintstones,6,19941
The Freak Brothers,1,22254
The Freedom Force,1,19676
The Garfield Show,2,9322
The Garfield Show,3,9444
The Garfield Show,4,9578
The Ghost and Molly McGee,1,17768
The Great,1,12574
The Great,2,12585
The Great,3,21817
The Grim Adventures of Billy & Mandy,1,6756
The Grim Adventures of Billy & Mandy,2,6676
The Grim Adventures of Billy & Mandy,3,6692
The Grim Adventures of Billy & Mandy,4,6709
The Grim Adventures of Billy & Mandy,5,6723
The Grim Adventures of Billy & Mandy,6,6730
The Grim Adventures of Billy & Mandy,7,6744
The Hard Times of RJ Berger,1,24711
The Hard Times of RJ Berger,2,24736
The Head,2,9330
The Herculoids,1,6953
The Incredible Hulk,1,9076
The Incredible Hulk,2,9117
The Jetsons,1,10635
The Jetsons,2,15259
The Jetsons,3,15301
The Last Kids on Earth,3,4108
The Last Kingdom,1,25110
The Last of Us,1,24879
The Legend of Korra,1,1277
The Legend of Korra,2,1352
The Legend of Korra,3,6174
The Legend of Korra,4,6188
The Legend of Vox Machina,1,13840
The Legend of Vox Machina,2,24992
The Legend of Zelda,1,7321
The Lion Guard,1,25525
The Lion Guard,2,25554
The Lion Guard,3,25585
The Looney Tunes Show,1,9148
The Looney Tunes Show,2,9251
The Lord of the Rings: The Rings of Power,1,18624
The Loud House,1,12360
The Loud House,2,12408
The Loud House,3,12459
The Loud House,4,15644
The Loud House,5,15676
The Mandalorian,1,4325
The Mandalorian,2,4316
The Mandalorian,3,21838
The Marvelous Misadventures of Flapjack,1,22531
The Marvelous Misadventures of Flapjack,2,22552
The Marvelous Misadventures of Flapjack,3,22573
The Maxx,1,6878
The Midnight Gospel,1,3729
The Mighty B!,1,21984
The Mighty B!,2,22005
The Mummy,1,11456
The Mummy,2,11470
The New Batman Adventures,1,3229
The New Batman Adventures,2,28453
The New Scooby and Scrappy-Doo Show,1,19496
The Nutty Boy,1,24934
The Owl House,1,3738
The Owl House,2,16906
The Owl House,3,21071
The Pirates of Dark Water,1,17736
The Pirates of Dark Water,2,17750
The Powerpuff Girls (1998),1,16041
The Powerpuff Girls (1998),2,16454
The Powerpuff Girls (2016),1,23209
The Powerpuff Girls (2016),2,23249
The Powerpuff Girls (2016),3,23291
The Prince,1,9952
The Proud Family,1,18319
The Proud Family,2,18341
The Proud Family,3,18373
The Proud Family: Louder and Prouder,1,15877
The Proud Family: Louder and Prouder,2,22216
The Punisher (2017),1,12642
The Punisher (2017),2,12656
The Purge,1,24568
The Purge,2,24576
The Ren & Stimpy Show,1,4867
The Ren & Stimpy Show,2,4886
The Ren & Stimpy Show,3,4915
The Ren & Stimpy Show,4,4956
The Ren & Stimpy Show,5,4999
The Replacements,2,9697
The Simpsons,1,13355
The Simpsons,10,13133
The Simpsons,11,13110
The Simpsons,12,12552
The Simpsons,13,1850
The Simpsons,14,1873
The Simpsons,15,2379
The Simpsons,16,1805
The Simpsons,17,1658
The Simpsons,18,12529
The Simpsons,19,12508
The Simpsons,2,13332
The Simpsons,20,12461
The Simpsons,21,1896
The Simpsons,22,1827
The Simpsons,23,1920
The Simpsons,24,1943
The Simpsons,25,1966
The Simpsons,26,1989
The Simpsons,27,2012
The Simpsons,28,599
The Simpsons,29,963
The Simpsons,3,13308
The Simpsons,30,12410
The Simpsons,31,12358
The Simpsons,32,12335
The Simpsons,33,20222
The Simpsons,4,13284
The Simpsons,5,13261
The Simpsons,6,13235
The Simpsons,7,13209
The Simpsons,8,13183
The Simpsons,9,13157
The Snoopy Show,1,11342
The Spectacular Spider-Man,1,1681
The Spectacular Spider-Man,2,3080
The Terminal List,1,26024
The Transformers (1984),1,2982
The Transformers (1984),2,2999
The Transformers (1984),3,3439
The Transformers (1984),3,3049
The Twilight Zone (1959),1,24897
The Twilight Zone (1959),2,24961
The Twilight Zone (1959),3,24998
The Twilight Zone (1959),4,25043
The Twilight Zone (1959),5,25062
The Twilight Zone (1985),1,25119
The Twilight Zone (1985),2,25206
The Twilight Zone (1985),3,25228
The Twilight Zone (2002),1,25415
The Twilight Zone (2019),1,25346
The Twilight Zone (2019),2,25349
The Venture Bros.,1,10554
The Venture Bros.,2,10812
The Weekenders,1,1178
The Weekenders,2,1195
The Weekenders,3,1214
The Weekenders,4,1239
The Wild Thornberrys,1,25368
The Witcher,1,3105
The Witcher,2,12319
The Witcher,3,22404
The Wonderful World of Mickey Mouse,1,7904
The Zeta Project,1,11206
The Zeta Project,2,11220
Thundercats (1985),1,10133
Thundercats (1985),2,10232
Thundercats (1985),3,10253
Thundercats (1985),4,10274
Thundercats (2011),1,21010
ThunderCats Roar,1,4546
Tig N' Seek,1,9976
Tig N' Seek,2,10006
Tig N' Seek,3,10044
Time-Jam - Valerian & Laureline,1,17310
Tiny Toon Adventures,1,4179
Tiny Toon Adventures,2,4245
Tiny Toon Adventures,3,4264
Tiny Toons Looniversity,1,22940
Titans,1,2788
Todd McFarlane's Spawn,1,8342
Todd McFarlane's Spawn,2,8349
Todd McFarlane's Spawn,3,8356
Tom and Jerry in New York,1,9934
Top Cat,1,19710
Total Drama Island: Reboot,1,27868
Total Drama Presents: The Ridonculous Race,1,15799
Total Drama,1,6392
Total Drama,2,7788
Total Drama,3,16286
Total Drama,4,7815
Total Drama,5,14048
Total DramaRama,1,10298
Total DramaRama,2,19083
Totally Spies!,1,5583
Totally Spies!,2,5610
Totally Spies!,3,5637
Totally Spies!,4,5556
Totally Spies!,5,5664
Totally Spies!,6,5691
Trailer Park Boys: The Animated Series,1,3357
Transformers Prime,1,8699
Transformers Prime,2,25879
Transformers Prime,3,25908
Transformers: Armada,,9681
Transformers: Cybertron,1,25824
Transformers: Cyberverse,1,11892
Transformers: Energon,1,11840
Transformers: War for Cybertron Trilogy,1,12062
Transformers: War for Cybertron Trilogy,2,12069
Transformers: War for Cybertron Trilogy,3,12076
Trese,1,6607
Trollhunters: Tales of Arcadia,1,20417
Trollhunters: Tales of Arcadia,2,2774
Trollhunters: Tales of Arcadia,3,20444
Trolls: The Beat Goes On!,1,25465
Trolls: The Beat Goes On!,2,25472
Trolls: The Beat Goes On!,3,25480
Trolls: The Beat Goes On!,4,25487
Trolls: The Beat Goes On!,5,25495
Trolls: The Beat Goes On!,6,25498
Trolls: The Beat Goes On!,7,25508
Trolls: The Beat Goes On!,8,25517
Trolls: TrollsTopia,1,8973
Trolls: TrollsTopia,2,9002
Trolls: TrollsTopia,3,9015
Trolls: TrollsTopia,4,9046
Trolls: TrollsTopia,5,20458
Trolls: TrollsTopia,6,14318
Trolls: TrollsTopia,7,20409
TRON: Uprising,1,17632
Tulsa King,1,22413
Twelve Forever,1,3331
Ultimate Spider-Man,1,1325
Ultimate Spider-Man,2,1367
Ultimate Spider-Man,3,1394
Ultimate Spider-Man,4,12036
Ultraforce,1,18504
Undergrads,1,16027
Unicorn: Warriors Eternal,1,23074
Unikitty!,1,20665
Unikitty!,2,20581
Unikitty!,3,20533
Velma,1,19876
Velma,2,28026
Vermin,1,16838
Vixen,1,18312
Voltron: Legendary Defender,1,2285
Voltron: Legendary Defender,2,2297
Voltron: Legendary Defender,3,20566
Voltron: Legendary Defender,4,20574
Voltron: Legendary Defender,5,20582
Voltron: Legendary Defender,6,20584
Voltron: Legendary Defender,7,20607
Voltron: Legendary Defender,8,20617
Wakfu,1,1727
Wakfu,2,19772
Wakfu,3,1781
WandaVision,1,4626
Watchmen,1,3321
Wayside,1,9643
Wayside,2,9702
We Bare Bears,1,16428
We Bare Bears,2,5997
We Bare Bears,3,6035
We Bare Bears,4,6100
Wednesday,1,19468
Westworld,1,3
What If...?,1,10116
Winx Club,1,13729
Winx Club,2,13756
Winx Club,3,19194
Winx Club,4,19235
Wizards: Tales of Arcadia,1,25075
Wolverine and the X-Men,1,18464
World of Winx,1,10295
World of Winx,2,10356
X-Men: Evolution,1,20245
X-Men: Evolution,2,20259
X-Men: Evolution,3,20277
X-Men: Evolution,4,20291
X-Men: The Animated Series,1,27623
X-Men: The Animated Series,2,27637
X-Men: The Animated Series,3,27651
X-Men: The Animated Series,4,27671
X-Men: The Animated Series,5,27689
Xiaolin Showdown,1,15391
Xiaolin Showdown,2,15444
Xiaolin Showdown,3,15471
You,1,10607
You,2,10618
You,3,12741
Young Justice,1,9944
Young Justice,2,10005
Young Justice,3,10053
Young Justice,4,19004
Yu-Gi-Oh! 5D's,1,15512
Yu-Gi-Oh! 5D's,2,15539
Yu-Gi-Oh! 5D's,3,15578
Yu-Gi-Oh! 5D's,4,15607
Yvon of the Yukon,1,6317
Zak Storm,1,17873
Zig & Sharko,2,16677
Zig & Sharko,3,16726
